@RELATION emlak_train_hepsi

% =============================================================
%  IMAGE FEATURES — ResNet'ten gelecek (henuz hazir degil)
% =============================================================
% @ATTRIBUTE salon_kalitesi {kotu,normal,iyi,luks}
% @ATTRIBUTE oda_kalitesi {kotu,normal,iyi,luks}
% @ATTRIBUTE mutfak_kalitesi {kotu,normal,iyi,luks}
% @ATTRIBUTE banyo_kalitesi {kotu,normal,iyi,luks}

@ATTRIBUTE il {Adana,Afyonkarahisar,Kahramanmaras,Kutahya,bilinmiyor}
@ATTRIBUTE ilce {Afsin,Aladag,Altintas,Bolvadin,Cukurova,Dinar,Dulkadiroglu,Dumlupinar,Elbistan,Emet,Emirdag,Evciler,Gediz,Goksun,Ihsaniye,Imamoglu,Iscehisar,Karaisali,Karatas,Kozan,Merkez,Onikisubat,Pazarcik,Pozanti,Sandikli,Saricam,Seyhan,Simav,Sinanpasa,Suhut,Sultandagi,Tavsanli,Yumurtalik,Yuregir,bilinmiyor}
@ATTRIBUTE mahalle {2000_Evler_Mh.,30_Agustos_Mh.,5_Nisan_Mh.,75._Yil_Mh.,Abdulhamid_Han_Mh.,Akcatekir_Mh.,Akif_Inan_Mh.,Akkent_Mh.,Akmescit_Mh.,Ali_Ihsan_Pasa_Mh.,Alipasa_Mh.,Aslan_Bey_Mh.,Aydinlar_Mh.,Bahcelievler_Mh.,Ballica_Mh.,Belediye_Evleri_Mh.,Beyazevler_Mh.,Bogazici_Mh.,Boynuyogun_Mh.,Carkipare_Mh.,Cedit_Mh.,Cemalpasa_Mh.,Cinarli_Mh.,Cumhuriyet_Mh.,Dervis_Pasa_Mh.,Diger_Mahalle,Dortyol_Mh.,Dumlupinar_Mh.,Durak_Mh.,Elif_Su_Uludag_Mh.,Enne_Mh.,Erenler_Mh.,Esentepe_Mh.,Evliya_Celebi_Mh.,Fakipasa_Mh.,Fatih_Mh.,Fuatpasa_Mh.,Gaybiefendi_Mh.,Gazi_Mh.,Gazligol_Yunus_Emre_Mh.,Gedemen_Mh.,Gultepe_Mh.,Gurselpasa_Mh.,Guvenevler_Mh.,Guzelyali_Mh.,Hanimcesme_Mh.,Haydar_Bey_Mh.,Huzurevleri_Mh.,Ilica_Mh.,Istiklal_Mh.,Kabasakal_Mh.,Kanlica_Mh.,Karslilar_Mh.,Kavlakli_Mh.,Kayabasi_Mh.,Kirazpinar_Mh.,Kurttepe_Mh.,Kurtulus_Mh.,Lala_Huseyin_Pasa_Mh.,Maarif_Mh.,Magrali_Mh.,Mahfesigmaz_Mh.,Maresal_Fevzi_Cakmak_Mh.,Marulcu_Mh.,Mecidiye_Mh.,Mehmet_Akif_Ersoy_Mh.,Mercimektepe_Mh.,Mevlana_Mh.,Meydan_Mh.,Moymul_Mh.,Namik_Kemal_Mh.,Necip_Fazil_Mh.,Omerbey_Mh.,Osmangazi_Mh.,Pinar_Mh.,Rasim_Ozdenoren_Mh.,Resatbey_Mh.,Sahipata_Mh.,Sambayadi_Mh.,Saray_Mh.,Sehit_Abdullah_Cavus_Mh.,Selcuklu_Mh.,Servi_Mh.,Sucuzade_Mh.,Suleymansah_Mh.,Sumer_Mh.,Susuz_Sakarya_Mh.,Tavsantepe_Mh.,Tekerek_Mh.,Tellidere_Mh.,Toros_Mh.,Ulucami_Mh.,Ungut_Mh.,Vadi_Mh.,Yamactepe_Mh.,Yavuz_Selim_Mh.,Yeni_Mh.,Yenibaraj_Mh.,Yenidogan_Mh.,Yenikonacik_Mh.,Yesiloba_Mh.,Yesilyurt_Mh.,Yildirim_Beyazit_Mh.,Yirmiikigun_Mh.,Yunus_Emre_Mh.,Yunusemre_Mh.,Yurt_Mh.,Yurukselim_Mh.,Yuzuncuyil_Mh.,Zafer_Mh.,Zafertepe_Mh.}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0,11_15_arasi,16_20_arasi,1_5_arasi,21_25_arasi,26_30_arasi,31_ve_uzeri,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,10,11,12,13,14,15,17,2,20,3,4,5,6,7,8,9,Ara_Kat,Bahce,Bodrum,En_Ust_Kat,Giris,Kot_1,Kot_2,Kot_3,Villa_Kati,Yuksek_Giris,Zemin,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Gunes_Enerjisi,Jeotermal,Kat_Kaloriferi,Klima,Kombi,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Yerden_Isitma,belirtilmemis_dogalgaz,belirtilmemis_elektrik,belirtilmemis_komur_odun,bilinmiyor,isitma_yok}
@ATTRIBUTE mutfak_raw {bilinmiyor}
@ATTRIBUTE mutfak_acik_mi {yok,var}
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE Bati {yok,var}
@ATTRIBUTE Dogu {yok,var}
@ATTRIBUTE Guney {yok,var}
@ATTRIBUTE Kuzey {yok,var}
@ATTRIBUTE Akilli_Ev {yok,var}
@ATTRIBUTE Celik_Kapi {yok,var}
@ATTRIBUTE Fiber_Internet {yok,var}
@ATTRIBUTE Isicam {yok,var}
@ATTRIBUTE Somine {yok,var}
@ATTRIBUTE Isi_Yalitimi {yok,var}
@ATTRIBUTE Mustakil_Havuzlu {yok,var}
@ATTRIBUTE Ses_Yalitimi {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Acik {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Kapali {yok,var}
@ATTRIBUTE Bogaz {yok,var}
@ATTRIBUTE Deniz {yok,var}
@ATTRIBUTE Doga {yok,var}
@ATTRIBUTE Gol {yok,var}
@ATTRIBUTE Nehir {yok,var}
@ATTRIBUTE Sehir {yok,var}
@ATTRIBUTE Dubleks {yok,var}
@ATTRIBUTE Bahce_Dubleksi {yok,var}
@ATTRIBUTE Cati_Dubleksi {yok,var}
@ATTRIBUTE Tripleks {yok,var}
@ATTRIBUTE metrekare_kategori {0_50_m2,100_125_m2,125_150_m2,150_200_m2,200_300_m2,300_m2_ve_ustu,50_75_m2,75_100_m2,bilinmiyor}
@ATTRIBUTE oda_kategori {1_oda,2_oda,3_oda,4_oda,5_oda,6_oda,7_oda_ve_ustu,bilinmiyor}
@ATTRIBUTE kat_sayisi_kategori {alcak_1_3_kat,bilinmiyor,cok_yuksek_16_ustu_kat,orta_4_7_kat,yuksek_8_15_kat}
@ATTRIBUTE banyo_kategori {1_banyo,2_banyo,3_banyo_ve_ustu,bilinmiyor}
@ATTRIBUTE guvenlik_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE luks_kategori {dusuk,orta,yok,yuksek,bilinmiyor}
@ATTRIBUTE sosyal_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE ulasim_kategori {dusuk,orta,yok,bilinmiyor}
@ATTRIBUTE cevre_yakinlik_kategori {dusuk,orta,yok,yuksek,bilinmiyor}
@ATTRIBUTE ic_konfor_kategori {dusuk,orta,yok,yuksek,bilinmiyor}
@ATTRIBUTE engelli_kategori {bilinmiyor,yok}
@ATTRIBUTE fiyat_kategorisi {10_Milyon_TL_Ustu,1_5_2_Milyon_TL_Arasi,1_5_Milyon_TL_Alti,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Kahramanmaras,Elbistan,Diger_Mahalle,Satilik,26_30_arasi,bilinmiyor,Soba,bilinmiyor,yok,yok,yok,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,300_m2_ve_ustu,7_oda_ve_ustu,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,7_Bucuk_10_Milyon_TL_Arasi
Adana,Cukurova,Toros_Mh.,Satilik,21_25_arasi,10,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,orta,yok,dusuk,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kutahya,Tavsanli,Omerbey_Mh.,Satilik,11_15_arasi,bilinmiyor,Kat_Kaloriferi,bilinmiyor,yok,var,yok,var,yok,var,var,yok,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,125_150_m2,4_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,1_5_Milyon_TL_Alti
Kutahya,Merkez,Zafertepe_Mh.,Satilik,0,3,Yerden_Isitma,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,125_150_m2,4_oda,orta_4_7_kat,2_banyo,yok,dusuk,yok,dusuk,orta,orta,yok,4_5_Milyon_TL_Arasi
Adana,Pozanti,Akcatekir_Mh.,Satilik,0,bilinmiyor,Soba,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,var,var,yok,yok,yok,150_200_m2,7_oda_ve_ustu,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,orta,dusuk,yok,7_Bucuk_10_Milyon_TL_Arasi
Kahramanmaras,Dulkadiroglu,Ballica_Mh.,Satilik,1_5_arasi,1,bilinmiyor,bilinmiyor,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,50_75_m2,3_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Ungut_Mh.,Satilik,1_5_arasi,4,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,125_150_m2,3_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Adana,Saricam,Osmangazi_Mh.,Satilik,0,13,Kombi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,100_125_m2,3_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,orta,orta,yok,2_3_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Fatih_Mh.,Satilik,21_25_arasi,1,bilinmiyor,bilinmiyor,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,100_125_m2,4_oda,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Kahramanmaras,Elbistan,Cumhuriyet_Mh.,Satilik,1_5_arasi,Kot_3,Kombi,bilinmiyor,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,150_200_m2,4_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Kutahya,Merkez,Meydan_Mh.,Satilik,6_10_arasi,4,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,125_150_m2,4_oda,orta_4_7_kat,2_banyo,yok,yok,yok,yok,dusuk,dusuk,yok,3_4_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Dervis_Pasa_Mh.,Satilik,21_25_arasi,2,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Adana,Cukurova,Belediye_Evleri_Mh.,Satilik,0,8,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,75_100_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,dusuk,yok,orta,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Adana,Seyhan,Yenibaraj_Mh.,Satilik,6_10_arasi,6,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,150_200_m2,4_oda,cok_yuksek_16_ustu_kat,2_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Kutahya,Merkez,Kirazpinar_Mh.,Satilik,0,2,Yerden_Isitma,bilinmiyor,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Adana,Cukurova,Beyazevler_Mh.,Satilik,21_25_arasi,Zemin,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,150_200_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Adana,Cukurova,Huzurevleri_Mh.,Satilik,1_5_arasi,12,Klima,bilinmiyor,yok,var,var,var,yok,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,125_150_m2,4_oda,cok_yuksek_16_ustu_kat,1_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Adana,Cukurova,Toros_Mh.,Satilik,26_30_arasi,1,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,150_200_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Adana,Cukurova,Toros_Mh.,Satilik,21_25_arasi,1,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,yok,dusuk,yok,dusuk,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Diger_Mahalle,Satilik,0,2,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Fatih_Mh.,Satilik,0,1,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,dusuk,yok,orta,orta,yuksek,yok,3_4_Milyon_TL_Arasi
Adana,Saricam,Gultepe_Mh.,Satilik,1_5_arasi,5,isitma_yok,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,0_50_m2,2_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_Milyon_TL_Alti
Adana,Karatas,Yeni_Mh.,Satilik,1_5_arasi,2,Klima,bilinmiyor,yok,var,yok,var,yok,var,var,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,100_125_m2,3_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,orta,dusuk,yuksek,yok,3_4_Milyon_TL_Arasi
Kahramanmaras,Dulkadiroglu,Aslan_Bey_Mh.,Satilik,0,2,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,125_150_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,yok,yok,dusuk,yuksek,dusuk,yok,3_4_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Abdulhamid_Han_Mh.,Satilik,1_5_arasi,11,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Adana,Seyhan,Yesilyurt_Mh.,Satilik,21_25_arasi,bilinmiyor,Klima,bilinmiyor,yok,var,yok,var,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,100_125_m2,5_oda,alcak_1_3_kat,2_banyo,yok,dusuk,yok,dusuk,dusuk,yuksek,yok,2_3_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Tekerek_Mh.,Satilik,1_5_arasi,1,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,var,yok,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,125_150_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,dusuk,dusuk,yuksek,yok,3_4_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Fatih_Mh.,Satilik,11_15_arasi,Bahce,Kombi,bilinmiyor,yok,var,yok,yok,yok,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,bilinmiyor,1_banyo,yok,dusuk,yok,orta,yuksek,orta,yok,2_3_Milyon_TL_Arasi
Afyonkarahisar,Emirdag,Diger_Mahalle,Satilik,31_ve_uzeri,Bahce,Soba,bilinmiyor,yok,var,yok,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,100_125_m2,3_oda,bilinmiyor,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,1_5_2_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Diger_Mahalle,Satilik,16_20_arasi,bilinmiyor,Soba,bilinmiyor,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,300_m2_ve_ustu,4_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Ali_Ihsan_Pasa_Mh.,Satilik,0,5,Kombi,bilinmiyor,yok,var,var,var,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,100_125_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Erenler_Mh.,Satilik,6_10_arasi,5,Kombi,bilinmiyor,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,yok,yok,1_5_Milyon_TL_Alti
Adana,Cukurova,Toros_Mh.,Satilik,21_25_arasi,1,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,dusuk,dusuk,orta,yuksek,yuksek,yok,4_5_Milyon_TL_Arasi
Adana,Seyhan,Yesilyurt_Mh.,Satilik,1_5_arasi,8,isitma_yok,bilinmiyor,yok,var,var,var,yok,yok,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,100_125_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,dusuk,yok,yok,yok,yuksek,yok,3_4_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Maresal_Fevzi_Cakmak_Mh.,Satilik,21_25_arasi,3,Kombi,bilinmiyor,yok,var,var,var,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Adana,Cukurova,Mahfesigmaz_Mh.,Satilik,6_10_arasi,7,Kombi,bilinmiyor,yok,var,yok,var,yok,var,var,yok,var,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,200_300_m2,5_oda,yuksek_8_15_kat,3_banyo_ve_ustu,yok,orta,dusuk,dusuk,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Gedemen_Mh.,Satilik,11_15_arasi,4,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,200_300_m2,5_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Erenler_Mh.,Satilik,6_10_arasi,3,Kombi,bilinmiyor,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_Milyon_TL_Alti
Adana,Seyhan,Tellidere_Mh.,Satilik,21_25_arasi,11,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,dusuk,dusuk,yuksek,yok,4_5_Milyon_TL_Arasi
Adana,Cukurova,Yurt_Mh.,Satilik,1_5_arasi,20,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,150_200_m2,5_oda,cok_yuksek_16_ustu_kat,2_banyo,dusuk,orta,dusuk,orta,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Adana,Saricam,Diger_Mahalle,Satilik,6_10_arasi,11,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,125_150_m2,4_oda,yuksek_8_15_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Adana,Seyhan,Gurselpasa_Mh.,Satilik,6_10_arasi,8,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,orta,orta,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kahramanmaras,Onikisubat,Sehit_Abdullah_Cavus_Mh.,Satilik,0,1,Merkezi,bilinmiyor,yok,var,yok,var,yok,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,yok,yok,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Kutahya,Merkez,Evliya_Celebi_Mh.,Satilik,1_5_arasi,Yuksek_Giris,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,orta,yok,2_3_Milyon_TL_Arasi
Adana,Seyhan,Yesilyurt_Mh.,Satilik,21_25_arasi,4,Klima,bilinmiyor,yok,var,yok,var,yok,yok,var,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,100_125_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,orta,yuksek,yuksek,yok,2_3_Milyon_TL_Arasi
Adana,Cukurova,Yuzuncuyil_Mh.,Satilik,6_10_arasi,13,Kombi,bilinmiyor,yok,var,yok,var,yok,var,yok,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,dusuk,orta,yuksek,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Afyonkarahisar,Merkez,Diger_Mahalle,Satilik,0,Ara_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,yok,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,150_200_m2,5_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,yok,dusuk,yok,yuksek,yok,5_7_Bucuk_Milyon_TL_Arasi
Kutahya,Merkez,Lala_Huseyin_Pasa_Mh.,Satilik,6_10_arasi,3,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yuksek,dusuk,yok,3_4_Milyon_TL_Arasi
