@RELATION emlak_train

@ATTRIBUTE il {Canakkale,bilinmiyor}
@ATTRIBUTE ilce {Bozcaada,Gelibolu,Gokceada,Merkez,Yenice,bilinmiyor}
@ATTRIBUTE mahalle {Alaeddin_Mah.,Alaybey_Mh.,Barbaros_Mah.,Camiikebir_Mah.,Cevat_Pasa_Mh.,Cinarli_Mh.,Cumhuriyet_Mah.,Diger_Mahalle,Erenkoy_Koyu,Esenler_Mah.,Eski_Yenice_Mah.,Fatih_Mah.,Ismetpasa_Mh.,Karacaoren_Koyu,Kepez_Bld.,Kislalar_Mh.,Kurtulus_Mh.,Kuzulimani_Mh.,Sirinkoy_Koyu,Tepekoy_Koyu,Ugurlu_Koyu,Yazicizade_Mh.,Yeni_Mh.,Zeytinli_Koyu}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0_Oturuma_Hazir,0_Yapim_Asamasinda,1,11_15_arasi,16_20_arasi,2,21_25_arasi,26_30_arasi,3,31_ve_uzeri,4,5,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,2,3,4,5,6,7,8,9,Bahce_Kati,Bilinmiyor,Cati_Kati,Giris_Kati,Mustakil,Villa_Tipi,Yuksek_Giris,Zemin_Kat,bilinmiyor}
@ATTRIBUTE isitma_raw {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Merkezi_Pay_Olcer,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE mutfak_raw {Acik_Amerikan,Bilinmiyor,Kapali,bilinmiyor}
@ATTRIBUTE metrekare_brut NUMERIC
@ATTRIBUTE metrekare_net NUMERIC
@ATTRIBUTE oda_sayisi NUMERIC
@ATTRIBUTE bina_yasi_numeric NUMERIC
@ATTRIBUTE bina_yasi_ordinal NUMERIC
@ATTRIBUTE bulundugu_kat_no NUMERIC
@ATTRIBUTE bulundugu_kat_ordinal NUMERIC
@ATTRIBUTE kat_sayisi NUMERIC
@ATTRIBUTE isitma_score NUMERIC
@ATTRIBUTE banyo_sayisi NUMERIC
@ATTRIBUTE mutfak_acik_mi NUMERIC
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE guvenlik_skoru NUMERIC
@ATTRIBUTE luks_skoru NUMERIC
@ATTRIBUTE sosyal_skoru NUMERIC
@ATTRIBUTE lokasyon_skoru NUMERIC
@ATTRIBUTE fiyat_kategorisi {100_250_Milyon_TL_Arasi,10_15_Milyon_TL_Arasi,15_25_Milyon_TL_Arasi,1_1_Bucuk_Milyon_TL_Arasi,1_Bucuk_2_Milyon_TL_Arasi,25_50_Milyon_TL_Arasi,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,50_100_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Canakkale,Merkez,Ismetpasa_Mh.,Satilik,6_10_arasi,7,Merkezi_Pay_Olcer,Merkezi,Acik_Amerikan,50.0,45.0,2.0,8.0,3.0,7.0,4.0,7.0,5.0,1.0,1.0,var,var,var,var,0.0,0.0,0.0,0.0,3_4_Milyon_TL_Arasi
Canakkale,Merkez,Kepez_Bld.,Satilik,6_10_arasi,Yuksek_Giris,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,50.0,45.0,2.0,8.0,3.0,0.0,4.0,7.0,5.0,1.0,1.0,var,var,var,var,1.0,0.0,0.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Merkez,Karacaoren_Koyu,Satilik,0_Yapim_Asamasinda,Giris_Kati,Yerden_Isitma,Yerden_Isitma,Kapali,145.0,125.0,4.0,0.0,0.0,0.0,3.0,7.0,5.0,2.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Merkez,Kepez_Bld.,Satilik,6_10_arasi,Bahce_Kati,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,110.0,85.0,3.0,8.0,3.0,0.0,4.0,2.0,5.0,1.0,1.0,var,yok,var,yok,6.0,6.0,8.0,7.0,10_15_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,6_10_arasi,Giris_Kati,Merkezi,Merkezi,Acik_Amerikan,55.0,50.0,2.0,8.0,3.0,0.0,3.0,2.0,4.0,1.0,1.0,var,yok,var,var,0.0,0.0,0.0,0.0,3_4_Milyon_TL_Arasi
Canakkale,Merkez,Cevat_Pasa_Mh.,Satilik,31_ve_uzeri,Zemin_Kat,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,60.0,55.0,2.0,30.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,var,yok,yok,var,0.0,0.0,2.0,0.0,3_4_Milyon_TL_Arasi
Canakkale,Merkez,Barbaros_Mah.,Satilik,6_10_arasi,2,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,65.0,49.0,2.0,8.0,3.0,2.0,5.0,3.0,5.0,1.0,1.0,yok,var,var,var,0.0,0.0,0.0,0.0,3_4_Milyon_TL_Arasi
Canakkale,Gelibolu,Camiikebir_Mah.,Satilik,4,Yuksek_Giris,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,70.0,65.0,2.0,4.0,4.0,0.0,4.0,4.0,5.0,1.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,2_3_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,31_ve_uzeri,Bilinmiyor,Klima,Klima,Kapali,60.0,50.0,4.0,30.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,yok,yok,yok,var,0.0,0.0,1.0,0.0,15_25_Milyon_TL_Arasi
Canakkale,Yenice,Kurtulus_Mh.,Satilik,0_Oturuma_Hazir,5,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,130.0,110.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,2.0,1.0,var,var,var,yok,0.0,1.0,1.0,0.0,4_5_Milyon_TL_Arasi
